PROPERTY TYPE,ADDRESS,CITY,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,HOA/MONTH,MLS#,LATITUDE,LONGITUDE
Townhouse,845 Wescott Sq,Eagan,55123,349000,3,3,Eagan,1546,5445.0,1994,5,250.0,6159156,44.8330868,-93.1297346
Townhouse,18314 Gladden Ln,Lakeville,55044,425000,4,4,Lakeville,2290,1785.0,2019,19,205.0,6153258,44.6833647,-93.2201568
Single Family Residential,17904 Greenwich Way,Lakeville,55044,574900,4,3,Summers Creek,3194,4486.0,2022,1,160.0,6164143,44.6913182,-93.2268148
Single Family Residential,17908 Greenwich Way,Lakeville,55044,679900,5,3,Summers Creek,3611,4486.0,2022,1,160.0,6163589,44.6912686,-93.226611
Townhouse,4837 Bisset Ln #8105,Inver Grove Heights,55076,280000,2,2,Inver Grove Heights,1524,26264.151515151516,2005,1,336.0,6164131,44.878561,-93.055997
Condo/Co-op,18500 Euclid St #102,Farmington,55024,215000,2,2,Farmington,1107,26264.151515151516,2000,1,369.0,6164078,44.6822599,-93.1778875
Single Family Residential,6720 134th St W,Apple Valley,55124,399000,4,3,Apple Valley,2348,16552.0,1971,1,0.0,6162036,44.7555777,-93.2016433
Condo/Co-op,150 E Burnsville Pkwy #115,Burnsville,55337,239900,2,2,Burnsville,1568,26264.151515151516,2004,1,527.0,6164022,44.773328,-93.275695
Townhouse,15734 Fox Cir,Apple Valley,55124,339000,3,3,Apple Valley,1913,1913.0,2003,1,254.0,6163635,44.7218369,-93.2031639
Condo/Co-op,12940 Nicollet Ave #301,Burnsville,55337,93400,1,1,Burnsville,675,26264.151515151516,1970,1,378.0,6157419,44.7689412,-93.2786783
Townhouse,4828 Avery Ct,Eagan,55123,420575,3,3,Avery Pines,1854,26264.151515151516,2022,1,250.0,6163340,44.78093687,-93.1136557
Townhouse,4832 Avery Ct,Eagan,55123,401490,3,3,Avery Pines,1854,26264.151515151516,2022,1,250.0,6163357,44.78093687,-93.1136557
Single Family Residential,19384 Ellington Trl,Farmington,55024,400000,3,3,Farmington,2140,10018.0,1994,1,0.0,6162096,44.6691862,-93.1669453
Single Family Residential,950 19th St W,Hastings,55033,342000,4,2,Hastings,1980,9016.0,1976,1,0.0,6163670,44.726605,-92.8646854
Single Family Residential,4796 Eriks Blvd,Eagan,55122,415000,3,2,Eagan,2012,20037.0,1978,1,0.0,6163702,44.7866739,-93.167808
Condo/Co-op,3578 Blue Jay Way #104,Eagan,55123,180000,1,1,Eagan,820,26264.151515151516,1985,1,211.0,6164009,44.8280447,-93.1447126
Townhouse,15608 Eagle Bay Dr,Apple Valley,55124,330000,3,4,Apple Valley,2068,26264.151515151516,2005,1,380.0,6146002,44.7242838,-93.1679263
Townhouse,4128 Durham Ct #137,Eagan,55122,239900,2,1,Eagan,1232,26264.151515151516,1992,1,210.0,6163830,44.8069426,-93.2024788
Townhouse,20868 Glade Ave,Lakeville,55044,509900,3,3,Lakeville,3087,4791.0,2016,1,185.0,6162952,44.6473443,-93.2192076
Single Family Residential,19164 Colonial Trl,Farmington,55024,475000,4,3,Farmington,2275,10018.0,2021,1,175.0,6148790,44.67249295,-93.13966668
Townhouse,18112 Glassfern Ln,Lakeville,55044,439900,4,4,Lakeville,2587,26264.151515151516,2015,1,205.0,6163940,44.6869995,-93.2151815
Townhouse,864 Ivy Ln,Eagan,55123,380000,2,2,Eagan,1136,6969.0,1999,1,390.0,6163954,44.83138,-93.1307209
Single Family Residential,3280 Heritage Ln,Eagan,55121,375000,3,2,Eagan,1851,31188.0,1956,1,0.0,6141734,44.8383496,-93.1860075
Condo/Co-op,4130 Rahn Rd Unit B205,Eagan,55122,119900,2,1,Eagan,900,26264.151515151516,1972,1,399.0,6163503,44.806893,-93.2057051
Townhouse,15081 December Way,Rosemount,55068,280000,3,2,Rosemount,1574,2526.0,1994,1,234.0,6160488,44.731291,-93.151307
Townhouse,7261 Brittany Ln,Inver Grove Heights,55076,249900,3,2,Inver Grove Heights,1378,26264.151515151516,1994,2,250.0,6163506,44.8448741,-93.0527735
Single Family Residential,18382 Hamby Dr,Lakeville,55044,468089,3,2,Pinnacle Reserve,1801,9147.0,2022,3,170.0,6163454,44.68242836,-93.2307826
Single Family Residential,7436 Agate Trl,Inver Grove Heights,55077,849900,5,4,Inver Grove Heights,3885,8712.0,2022,3,0.0,6163459,44.8517582,-93.089612
Townhouse,5046 161st St W,Lakeville,55044,502600,2,3,Spirit of Brandtjen Farm,2025,1306.0,2022,3,492.0,6163444,44.7154571,-93.1675777
Single Family Residential,17082 Hamilton Dr,Lakeville,55044,400000,4,2,Lakeville,2362,13808.0,1987,3,0.0,6151808,44.7028154,-93.226883
Townhouse,13793 Atrium Ave #2702,Rosemount,55068,274900,3,3,Rosemount,1530,26264.151515151516,2005,3,360.0,6163362,44.7493213,-93.0964593
Single Family Residential,1454 Stickney Ave,South Saint Paul,55075,280000,3,2,South Saint Paul,1708,5662.0,1953,3,0.0,6107654,44.9143753,-93.0604567
Townhouse,20042 Ideal Way,Lakeville,55044,375000,3,3,Lakeville,2180,1524.0,1995,4,200.0,6163333,44.659222,-93.253754
Townhouse,12901 Echo Ln,Apple Valley,55124,190000,2,1,Apple Valley,1076,26264.151515151516,1989,4,235.0,6163325,44.7628825,-93.1678868
Single Family Residential,15135 December Trl Unit TRI,Rosemount,55068,429900,5,3,Rosemount,2257,10410.0,1995,4,0.0,6156792,44.7299896,-93.1544569
Single Family Residential,13717 Oakland Dr,Burnsville,55337,375000,4,2,Burnsville,2143,19166.0,1974,4,0.0,6163310,44.7545023,-93.2662602
Townhouse,5052 161st St W,Lakeville,55044,529700,3,3,Spirit of Brandtjen Farm,2045,1524.0,2022,4,492.0,6163294,44.7154639,-93.1676258
Single Family Residential,4745 Bristol Blvd,Eagan,55123,585000,5,4,Eagan,3140,30579.0,1993,4,0.0,6153122,44.784804,-93.1106653
Single Family Residential,2002 Tamarack Ln,Burnsville,55337,359000,4,2,Burnsville,2260,10890.0,1964,4,0.0,6143215,44.7983199,-93.2453598
